X,Y,OBJECTID,Type,Detail,Name,DISTRICT,COUNTY,FACILITY,Camp_type,TOTAL_SITE,ADA_SITES,Ownership,Management,Surface,Use_,Condition,lat,long
-84.402374067419515,42.943504831505635,89,Campground,State Park,Sleepy Hollow State Park  ,Rose Lake,Clinton,Sleepy Hollow State Park,Modern,203,0,State,DNR,Dirt,Recreation,Unknown,42.94349662,-84.40236918
-84.686129202364199,44.424014316073666,90,Campground,State Park,South Higgins Lake State Park  ,Roscommon,Roscommon,South Higgins Lake State Park,Modern,411,0,State,DNR,Dirt,Recreation,Unknown,44.42400587,-84.68612408
-83.336293577588719,41.905326330479944,91,Campground,State Park,Sterling State Park  ,Pontiac,Monroe,Sterling State Park,Modern,261,0,State,DNR,Dirt,Recreation,Unknown,41.90531825,-83.33628911
-84.71812258913485,45.8492095739905,92,Campground,State Park,Straits State Park  ,Gaylord,Mackinac,Straits State Park,Modern,1,0,State,DNR,Dirt,Recreation,Unknown,45.8492009,-84.71811729
-85.036775486010669,46.558986660626545,93,Campground,State Park,Tahquamenon Falls State Park Rivermouth,Gaylord,Luce,Tahquamenon Falls State Park,Modern,72,4,State,DNR,Dirt,Recreation,Unknown,46.5589779,-85.03677
-85.037918086355731,46.55587629853563,94,Campground,State Park,Tahquamenon Falls State Park Rivermouth,Gaylord,Luce,Tahquamenon Falls State Park,Semi Modern,36,0,State,DNR,Dirt,Recreation,Unknown,46.55586753,-85.0379126
-85.208978988064459,46.608697454550722,95,Campground,State Park,Tahquamenon Falls State Park Lower Falls,Gaylord,Luce,Tahquamenon Falls State Park,Modern,88,0,State,DNR,Dirt,Recreation,Unknown,46.60868869,-85.20897344
-85.197974165525835,46.603356021921329,96,Campground,State Park,Tahquamenon Falls State Park Lower Falls,Gaylord,Luce,Tahquamenon Falls State Park,Modern,81,8,State,DNR,Dirt,Recreation,Unknown,46.60334726,-85.19796862
-83.444474546951795,44.258268243617088,97,Campground,State Park,Tawas Point State Park  ,Roscommon,Iosco,Tawas Point State Park,Modern,195,0,State,DNR,Dirt,Recreation,Unknown,44.25825976,-83.44446982
-88.85795247336651,46.889672180037941,98,Campground,State Park,Twin Lakes State Park  ,Baraga,Houghton,Twin Lakes State Park,Modern,60,0,State,DNR,Dirt,Recreation,Unknown,46.88966361,-88.85794576
-86.304601635192029,42.330028079749894,99,Campground,State Park,Van Buren State Park  ,Plainwell,Van Buren,Van Buren State Park,Modern,220,0,State,DNR,Dirt,Recreation,Unknown,42.33002008,-86.30459623
-86.30022019714086,42.332005946599097,100,Campground,State Park,Van Buren State Park  ,Plainwell,Van Buren,Van Buren State Park,Organizational,1,0,State,DNR,Dirt,Recreation,Unknown,42.33199794,-86.3002148
-87.987427792617282,46.519517193984491,101,Campground,State Park,Van Riper State Park  ,Baraga,Marquette,Van Riper State Park,Modern,147,2,State,DNR,Dirt,Recreation,Unknown,46.51950862,-87.98742139
-84.131552202663968,42.066074223819115,102,Campground,State Park,W.J. Hayes State Park  ,Rose Lake,Lenawee,W.J. Hayes State Park,Modern,175,10,State,DNR,Dirt,Recreation,Unknown,42.06606615,-84.13154748
-86.587898621085102,41.910542123145582,103,Campground,State Park,Warren Dunes State Park  ,Plainwell,Berrien,Warren Dunes State Park,Modern,182,0,State,DNR,Dirt,Recreation,Unknown,41.91053421,-86.58789318
-86.583644212978399,41.91557546535558,104,Campground,State Park,Warren Dunes State Park  ,Plainwell,Berrien,Warren Dunes State Park,Rustic,37,0,State,DNR,Dirt,Recreation,Unknown,41.91556755,-86.58363877
-86.581066642117932,41.921862937842505,105,Campground,State Park,Warren Dunes State Park  ,Plainwell,Berrien,Warren Dunes State Park,Organizational,1,0,State,DNR,Dirt,Recreation,Unknown,41.92185502,-86.5810612
-84.071406379280091,42.364367293683422,106,Campground,State Park,Waterloo Recreation Area Green Lake,Rose Lake,Jackson,Waterloo Recreation Area,Rustic,1,0,State,DNR,Dirt,Recreation,Unknown,42.36435916,-84.07140165
-84.12939410899763,42.333074613984643,107,Campground,State Park,Waterloo Recreation Area Green Lake,Rose Lake,Jackson,Waterloo Recreation Area,Equestrian,1,0,State,DNR,Dirt,Recreation,Unknown,42.33306649,-84.12938936
-84.236124994856951,42.328755862309833,108,Campground,State Park,Waterloo Recreation Area Portage Lake,Rose Lake,Jackson,Waterloo Recreation Area,Modern,130,7,State,DNR,Dirt,Recreation,Unknown,42.32874775,-84.23612022
-84.886297923689497,45.754238507762878,109,Campground,State Park,WIlderness State Park  ,Gaylord,Emmet,WIlderness State Park,Organizational,1,0,State,DNR,Dirt,Recreation,Unknown,45.75422986,-84.88629258
-84.900264830390995,45.745938003255304,110,Campground,State Park,Wilderness State Park Lakeshore,Gaylord,Emmet,Wilderness State Park,Modern,150,0,State,DNR,Dirt,Recreation,Unknown,45.74592936,-84.90025949
-84.805610492507341,44.030536281186691,111,Campground,State Park,Wilson State Park  ,Cadillac,Clare,Wilson State Park,Modern,100,0,State,DNR,Dirt,Recreation,Unknown,44.03052791,-84.80560537
-84.803544549492756,44.027326600754627,112,Campground,State Park,Wilson State Park  ,Cadillac,Clare,Wilson State Park,Modern,59,0,State,DNR,Dirt,Recreation,Unknown,44.02731823,-84.80353943
-84.801765347171639,44.026211281779091,113,Campground,State Park,Wilson State Park  ,Cadillac,Clare,Wilson State Park,Organizational,1,0,State,DNR,Dirt,Recreation,Unknown,44.02620291,-84.80176023
-85.51915193881382,42.618206677296044,114,Campground,State Park,Yankee Springs Recreation Area Gun Lake,Plainwell,Barry,Yankee Springs Recreation Area,Modern,200,12,State,DNR,Dirt,Recreation,Unknown,42.61819858,-85.51914675
-85.471997042382725,42.600523594288475,115,Campground,State Park,Yankee Springs Recreation Area  ,Plainwell,Barry,Yankee Springs Recreation Area,Equestrian,1,0,State,DNR,Dirt,Recreation,Unknown,42.6005155,-85.47199186
-85.056544567417333,45.238211709923725,116,Campground,State Park,Young State Park Spruce,Gaylord,Charlevoix,Young State Park,Modern,148,0,State,DNR,Dirt,Recreation,Unknown,45.23820315,-85.05653923
-85.061452136534101,45.235544260788913,117,Campground,State Park,Young State Park Oak,Gaylord,Charlevoix,Young State Park,Modern,51,3,State,DNR,Dirt,Recreation,Unknown,45.23553571,-85.0614468
-86.495070133241228,43.661992854161987,118,Campground,State Park,Silver Lake State Park  ,Cadillac,Oceana,Silver Lake State Park,Modern,203,12,State,DNR,Dirt,Recreation,Unknown,43.66198464,-86.49506454
-87.99309349081949,46.519257680477189,119,Campground,State Park,Van Riper State Park  ,Baraga,Marguette,Van Riper State Park,Rustic,40,0,State,DNR,Dirt,Recreation,Unknown,46.51924911,-87.99308709
-84.722155504677701,45.854158864403026,120,Campground,State Park,Straits State Park  ,Gaylord,Mackinac,Straits State Park,Modern,313,0,State,DNR,Dirt,Recreation,Unknown,45.85415019,-84.7221502
-83.513271458494401,42.81800487495795,121,Campground,State Park,Holly Recreation Area  ,Bay City,Oakland,Holly Recreation Area,Organizational,5,0,State,DNR,Dirt,Recreation,Unknown,42.81799664,-83.51326686
-86.357746292366684,43.261757731384613,122,Campground,State Park,Muskegon State Park Lake Michigan,Cadillac,Muskegon,Muskegon State Park,Modern,86,0,State,DNR,Dirt,Recreation,Unknown,43.26174957,-86.35774078
-88.603832838884287,47.238423460501757,123,Campground,State Park,Mclain State Park  ,Baraga,Houghton,Mclain State Park,Modern,103,0,State,DNR,Dirt,Recreation,Unknown,47.23841482,-88.60382615
-86.669155104192868,45.711658058650961,124,Campground,State Park,Fayette State Park  ,Baraga,Delta,Fayette State Park,Semi Modern,63,2,State,DNR,Dirt,Recreation,Unknown,45.71164952,-86.66914922
-85.11637183177416,42.940342945748718,125,Campground,State Park,Ionia Recreation Area  ,Rose Lake,Ionia,Ionia Recreation Area,Equestrian,49,0,State,DNR,Dirt,Recreation,Unknown,42.94033477,-85.11636673
-85.348422696942691,42.317794096963858,126,Campground,State Park,Fort Custer Recreation Area  ,Plainwell,Kalamazoo,Fort Custer Recreation Area,Modern,217,11,State,DNR,Dirt,Recreation,Unknown,42.31778604,-85.34841758
-83.47013203821615,42.684773221817487,127,Campground,State Park,Pontiac Lake Recreation Area  ,Pontiac,Oakland,Pontiac Lake Recreation Area,Modern,176,0,State,DNR,Dirt,Recreation,Unknown,42.68476501,-83.47012746
-84.024332879602795,44.414604086068984,128,Campground,State Park,Rifle River Recreation Area Grousehaven,Roscommon,Ogemaw,Rifle River Recreation Area,Modern,80,0,State,DNR,Dirt,Recreation,Unknown,44.41459561,-84.02432796
-84.899843468389591,45.744092038960034,129,Campground,State Park,Wilderness State Park Pines,Gaylord,Emmet,Wilderness State Park,Modern,100,0,State,DNR,Dirt,Recreation,Unknown,45.74408339,-84.89983813
